"Structure","d (nm)","ρ (Ω·cm)","R s (Ω/⃞)","μ (cm 2 /V·s)","N (cm −3 )"
"₂ ₃ Er ₂ O ₃ /Ag/ ₂ ₃ Er ₂ O ₃","45/4/45","-","-","-","-"
"","45/6/45","7.77 × 10 − 4","80.9","5.41","1.52 × 10 21"
"","45/8/45","2.29 × 10 − 4","23.4","7.34","3.72 × 10 21"
"","45/10/45","1.22 × 10 − 4","12.2","12.0","4.27 × 10 21"
"","45/12/45","8.33 × 10 − 5","8.2","13.4","5.30 × 10 21"
"₂ ₃ Ga ₂ O ₃ /Ag/ ₂ ₃ Ga ₂ O ₃","45/4/45","-","-","-","-"
"","45/6/45","6.31 × 10 − 4","65.7","3.45","2.75 × 10 21"
"","45/8/45","3.44 × 10 − 4","24.9","7.26","2.52 × 10 21"
"","45/10/45","1.97 × 10 − 4","19.7","8.98","3.57 × 10 21"
"","45/12/45","1.74 × 10 − 4","17.1","8.36","4.29 × 10 21"
"₂ ₂ HfO ₂ / Ag / HfO ₂","45/4/45","-","-","-","-"
"","45/6/45","6.05 × 10 − 4","63.0","2.28","4.53 × 10 21"
"","45/8/45","1.16 × 10 − 4","11.8","9.25","5.81 × 10 21"
"","45/10/45","9.26 × 10 − 5","9.3","10.4","6.50 × 10 21"
"","45/12/45","5.36 × 10 − 5","5.3","18.4","6.34 × 10 21"
"₂ ₅ Ta ₂ O ₅ /Ag/ ₂ ₅ Ta ₂ O ₅","45/4/45","-","-","-","-"
"","45/6/45","8.65 × 10 − 4","90.1","2.04","1.01 × 10 21"
"","45/8/45","1.64 × 10 − 4","16.7","7.99","4.77 × 10 21"
"","45/10/45","1.08 × 10 − 4","10.8","8.61","6.73 × 10 21"
"","45/12/45","8.77 × 10 − 5","8.6","11.1","6.85 × 10 21"
"₂ ₂ ZrO ₂ / Ag / ZrO ₂","45/4/45","-","-","-","-"
"","45/6/45","-","-","-","-"
"","45/8/45","-","-","-","-"
"","45/10/45","7.89 × 10 − 5","78.9","12.6","6.28 × 10 21"
"","45/12/45","6.15 × 10 − 5","6.0","15.4","6.64 × 10 21"
