"Year","Researcher","Substrate Type","Performance","Ref"
"1907","Badaker","Rigid","1st TCO: thin film of CdO Prepared: thermally oxidizing a vacuum sputtered film of cadmium metal","[ 2 ]"
"1976–1978","Haacke et al. Miyata et al.","Rigid","Investigate: Ternary compounds CdO TCO: cadmium tin oxide, Cd2SnO4, (CTO)","[ 5 ] [ 6 ]"
"1979","Aranovich et al.","Rigid","Undoped ZnO films","[ 7 ]"
"1980–1984","Minami et al.","Rigid","Investigate: dopants in ZnO & deposition methods Deposition: ZnO:Al (ATO) - good E/O Perform: 1980s–1990s ternary compounds & multicomponent oxides (ZnO)","[ 8 ]"
"1982","Frank et al. Gonzalez et al.","Rigid","Theoretical: cluster model Description: Sn defect doping occur in IO (experiment support)","[ 9 ] [ 10 ]"
"1986","Mehra et al.","Rigid","Reactive sputter: ITO Applies: electronic industry","[ 12 ]"
"1987","Mayr et al.","Rigid","Sputter roll coaters - ITO coating (available) High Vacuum Sputter Roll Coating: New Large-Scale Manufacturing Technology Applied: Transparent Conductive ITO Layers Develop: computerized system - process control & software - reactive sputtering Applied: Reactive Sputter Roll Coating with Automatic On-Line Process Control Computer Control of Wide Web Sputtering Processes.","[ 13 ]"
"1993","Karasawa et al.","Rigid","Develop: commercial, high density (about 90 %) targets enabled the growth-ITO Studies on Sputtering Characteristics of ITO Target Materials.","[ 14 ]"
"1995","Minami et al.","Rigid","Develop: “indium zinc oxide” from the ZnO-In 2 O 3 (successful) Demonstrate: ternary compounds of the form Zn m In 2 O 3+m (m = 2–7)","[ 15 ]"
"1998","Ellmer et al.","Rigid","Develop: improve properties homogeneity over large area (improve resistivity) Method: sputter deposited Substrate: glass","[ 16 ]"
"1999–2000","Minami","Rigid","Multicomponent oxides: ZnO, In 2 O 3 , SnO 2 ,Ga 2 O 3 and MgO Explored: 1990s. Develop: New n-type transparent conducting oxide","[ 17 ] [ 18 ]"
"2000–2004","Cairns et al. Leterrier et al.","Flexible","Develop: TCO flexible Applied: displays & electronics Need: mechanical properties & characterization of ITO","[ 19 ] [ 20 ]"
"2001–2006","Bright","Flexible","Develop: multilayer ITO coatings Result: high transparency & low sheet resistance Issues: Fundamental-TCO Plastic Substrates Solution: high-performance transparent electrode Applied: flexible displays, solid state lighting, photovoltaic devices & multilayer","[ 21 ] [ 11 ]"
"2008","Minami","Rigid","Develop: alternative ITO thin film transparent electrode (AZO & GZO) Applied: LCDs Method: DC magnetron sputtering deposition","[ 22 ]"
"2008–2010","Minami Minami et al. Yamamoto et al.","Rigid","Develop: alternative ZnO & multicomponent oxide thin films with specialized properties","[ 23 ] [ 24 ] [ 25 ]"
"2013","Minami","Flexible","Develop: new transparent electrode (applying coating of Ag nanoparticles/carbon nanotubes) Applied: appropriate transparent binder & by transcription Substrate: graphene sheets","[ 26 ]"
"Currently","Habis et al.","According to Habis et al., 2022, the date contribution, the characteristics of TCO layers, and their optimization continue to be the focus of intense research on a global scale, with 250 000 (Google Scholar, 2021) publications on the topic of TCO in rank A journals.","","[ 27 ]"
