"Material","Type","Voc (mA)","Jsc (mA/cm 2 )","FF (%)","PCE (%)","Ref."
"ZnO/AZO","n-type","645.3","37.11","71.60","17.13","[ 17 ]"
"AZO","n-type","747.5","39.13","86.23","24.94","[ 18 ]"
"a-SnO x","n-type","714.0","39.30","78.90","22.18","[ 19 ]"
"SnO x","n-type","747.7","39.60","84.14","24.91","[ 15 ]"
"SnO:Ta","n-type","748.8","39.98","83.83","25.10","[ 20 ]"
"IZO","n-type","743.7","38.35","84.22","24.02","[ 21 ]"
"ITO","n-type","747.0","39.60","84.90","25.20","[ 22 ]"
"IWO","n-type","731.0","40.16","78.07","22.92","[ 23 ]"
"AZO/IMO:H","n-type","747.4","40.10","85.48","25.26","[ 24 ]"
"Al 2 O 3 /IZO","n-type","740.0","40.53","72.33","21.57","[ 25 ]"
