"Structure","(nm)","(Ω·cm)","(Ω/⃞)","(cm 2 /V·s)","(cm −3 )"
"₂ ₃ /Ag/ ₂ ₃","45/4/45","-","-","-","-"
"","45/6/45","7.77","80.9","5.41","1.52"
"","45/8/45","2.29","23.4","7.34","3.72"
"","45/10/45","1.22","12.2","12.0","4.27"
"","45/12/45","8.33","8.2","13.4","5.30"
"₂ ₃ /Ag/ ₂ ₃","45/4/45","-","-","-","-"
"","45/6/45","6.31","65.7","3.45","2.75"
"","45/8/45","3.44","24.9","7.26","2.52"
"","45/10/45","1.97","19.7","8.98","3.57"
"","45/12/45","1.74","17.1","8.36","4.29"
"₂ ₂","45/4/45","-","-","-","-"
"","45/6/45","6.05","63.0","2.28","4.53"
"","45/8/45","1.16","11.8","9.25","5.81"
"","45/10/45","9.26","9.3","10.4","6.50"
"","45/12/45","5.36","5.3","18.4","6.34"
"₂ ₅ /Ag/ ₂ ₅","45/4/45","-","-","-","-"
"","45/6/45","8.65","90.1","2.04","1.01"
"","45/8/45","1.64","16.7","7.99","4.77"
"","45/10/45","1.08","10.8","8.61","6.73"
"","45/12/45","8.77","8.6","11.1","6.85"
"₂ ₂","45/4/45","-","-","-","-"
"","45/6/45","-","-","-","-"
"","45/8/45","-","-","-","-"
"","45/10/45","7.89","78.9","12.6","6.28"
"","45/12/45","6.15","6.0","15.4","6.64"
